jcat,piece,type,inclination,reentry_date,dry_mass
S28090,2003-053D,C  A        ,51.66,2003-11-24T20:30:00Z,    800 
S28091,2003-053C,R3          ,51.66,2003-11-24T20:30:00Z,   4185 
S28092,2003-053F,C  M        ,48.06,2004-09-20T00:00:00Z,     56 
S28093,2003-053G,C  M        ,48.11,2005-01-23T00:00:00Z,     56 
S28099,2003-055B,R3          ,67.08,2010-03-10T00:00:00Z,    725 
S28118,2003-057B,R2          ,27.95,2023-04-01T00:04:00Z,   1840 
S28130,2003-058B,R2          ,29.85,2004-09-16T00:00:00Z,    924 
S28131,2003-058C,R3          ,38.92,2011-03-03T00:00:00Z,    132 
S28135,2003-060B,R3          ,51.62,2003-12-31T00:00:00Z,   4185 
S28136,2003-060C,C  A        ,51.6,2003-12-30T00:00:00Z,    800 
S28141,2003-061B,R3          ,28.5,2007-10-14T00:00:00Z,    150 
S28143,2004-002B,R3          ,51.63,2004-02-01T03:04:00Z,   2350 
S28159,2004-004B,R2          ,28.6,2005-01-01T00:00:00Z,   4500 
S28164,2004-005B,R4          ,62.86,2016-10-12T17:30:00Z,    900 
S28165,2004-005C,R3          ,62.83,2004-04-11T00:00:00Z,   2350 
S28166,2004-005D,C  M        ,62.83,2004-03-15T00:00:00Z,    328 
S28185,2004-007B,R2          ,25.13,2011-07-01T00:00:00Z,   1720 
S28186,2004-010D,C  M        ,47.33,2004-09-10T00:00:00Z,     56 
S28191,2004-009B,R2          ,30.3,2004-09-22T00:00:00Z,    924 
S28192,2004-009C,R3          ,38.89,2007-03-19T00:00:00Z,    132 
S28195,2004-010B,C  A        ,51.66,2004-03-28T00:00:00Z,    800 
S28196,2004-010C,R3          ,51.65,2004-03-29T00:00:00Z,   4185 
S28197,2004-010E,C  M        ,47.34,2004-10-10T00:00:00Z,     56 
S28198,2003-060E,C  M        ,47.68,2006-06-28T00:00:00Z,     56 
S28199,2003-060F,C  M        ,47.64,2006-05-13T00:00:00Z,     56 
S28219,2004-011B,R2          ,26.3,2004-04-19T00:00:00Z,   2095 
S28229,2004-013B,R3          ,51.66,2004-04-22T00:00:00Z,   2350 
S28231,2004-014B,R2          ,94.56,2004-05-27T00:00:00Z,    924 
S28235,2004-015B,C  A        ,51.61,2004-04-27T00:00:00Z,    800 
S28236,2004-015C,R3          ,51.62,2004-04-29T00:00:00Z,   4185 
S28239,2004-016B,R3          ,0.25,2004-09-20T00:00:00Z,   3210 
S28241,2004-015E,C  M        ,47.51,2005-08-07T00:00:00Z,     56 
S28242,2004-015F,C  M        ,47.46,2005-02-21T00:00:00Z,     56 
S28253,2004-017B,R2          ,12.53,2014-06-16T18:18:00Z,   2095 
S28262,2004-019B,R3          ,51.64,2004-05-28T00:00:00Z,   2350 
S28351,2004-020B,R2          ,65,2004-05-28T20:45:00Z,   4000 
S28362,2004-023B,R2          ,32.92,2004-09-01T00:00:00Z,    924 
S28363,2004-023C,R3          ,39.03,2010-06-30T00:00:00Z,    132 
S28377,2004-026B,R2          ,103.03,2004-09-23T00:00:00Z,    924 
S28385,2004-034B,R2      c   ,57.41,2024-12-30T21:30:00Z,   1840 
S28390,2004-030B,R2          ,32.21,2005-05-02T00:00:00Z,    924 
S28397,2004-038B,R3          ,67.15,2004-10-01T00:00:00Z,   2350 
S28400,2004-032B,R3          ,51.65,2004-08-13T00:00:00Z,   2350 
S28403,2004-033B,R2          ,63,2004-09-10T00:00:00Z,   4006 
S28416,2004-035D,C  A        ,97.74,2017-03-10T15:30:00Z,     50 
S28418,2004-036B,R3          ,19.52,2007-11-24T00:00:00Z,   2450 
S28425,2004-039B,R2          ,63,2004-10-10T00:00:00Z,   4006 
S28427,2004-033E,C  A        ,63.02,2004-10-01T00:00:00Z,      0 
S28445,2004-040B,R3          ,51.65,2004-10-16T00:00:00Z,   2350 
S28452,2004-042B,R3          ,27.04,2005-10-17T00:00:00Z,   2800 
S28464,2004-043B,R3          ,51.62,2004-11-01T00:00:00Z,   4185 
S28465,2004-043C,C  A        ,51.62,2004-10-30T00:00:00Z,    800 
S28471,2004-044B,R3          ,97.2,2013-01-02T00:00:00Z,   1000 
S28475,2004-045B,R2          ,33.14,2005-01-01T10:17:00Z,    924 
S28476,2004-045C,R3          ,38.94,2018-05-23T14:00:00Z,    132 
S28478,2004-043H,C  M        ,47.5,2011-03-20T00:00:00Z,     56 
S28486,2004-047B,R2          ,19.47,2004-12-23T00:00:00Z,    924 
S28487,2004-043J,C  M        ,47.44,2008-04-30T00:00:00Z,     56 
S28504,2004-051B,R3          ,51.65,2004-12-26T00:00:00Z,   2350 
S28506,2004-052B,R3          ,82.56,2009-07-14T00:00:00Z,   1600 
S28511,2004-053D,R3          ,64.85,2004-12-26T17:00:00Z,   4185 
S28513,2004-053F,C  A        ,64.99,2004-12-26T17:00:00Z,    800 
S28514,2004-053G,C  M        ,64.79,2008-06-26T00:00:00Z,     56 
S28515,2004-053H,C  M        ,64.84,2008-07-08T00:00:00Z,     56 
