jcat,piece,type,inclination,reentry_date,dry_mass
S35698,2009-042C,C  M        ,49.18,2010-06-22T00:00:00Z,   1000 
S35753,2009-043B,R2          ,34.27,2009-11-26T00:00:00Z,    924 
S35754,2009-043C,R3          ,40,2023-09-18T05:00:00Z,    132 
S35758,2009-044D,C  A        ,1.96,2021-01-17T01:02:00Z,    440 
S35813,2009-046B,R3          ,22.32,2009-09-02T00:00:00Z,   2800 
S35818,2009-048B,R2          ,51.59,2009-09-14T00:00:00Z,   3400 
S35867,2009-049C,R4          ,97.37,2021-03-12T09:56:00Z,   1000 
S35872,2009-049H,R3          ,98.82,2009-09-20T00:00:00Z,   2710 
S35939,2009-052C,R2      C   ,59.65,2010-02-20T03:32:00Z,    924 
S35941,2009-053B,R3          ,51.6,2009-10-04T00:00:00Z,   2350 
S35945,2009-054D,C  A        ,2.95,2020-01-14T00:00:00Z,    440 
S35947,2009-055B,R2          ,92.02,2010-03-11T00:00:00Z,    924 
S35949,2009-056B,R3          ,51.66,2009-10-17T00:00:00Z,   2350 
S36035,2009-058D,C  A        ,5.98,2010-09-09T00:00:00Z,    440 
S36087,2009-060B,R3          ,51.61,2009-11-14T00:00:00Z,   2350 
S36096,2009-063B,R3          ,67.17,2010-04-07T00:00:00Z,   2350 
S36105,2009-066B,R2      c   ,97.39,2024-11-28T19:38:00Z,   4000 
S36114,2009-070D,C  A        ,64.78,2009-12-15T00:00:00Z,    800 
S36117,2009-070G,R3          ,64.81,2009-12-15T08:20:00Z,   3500 
S36130,2009-074B,R3          ,51.64,2009-12-24T05:19:00Z,   2350 
S36362,2010-003B,R3          ,51.63,2010-02-05T00:00:00Z,   2350 
S36404,2010-007E,R3          ,64.79,2010-03-02T22:33:00Z,   3500 
S36405,2010-007F,C  A        ,64.79,2010-03-02T00:00:00Z,    800 
S36506,2010-011B,R3          ,51.64,2010-04-05T00:00:00Z,   2350 
S36512,2010-014B,R3          ,67.17,2010-04-21T00:00:00Z,   2350 
S36518,2010-016C,C  M        ,46.19,2018-11-08T00:00:00Z,   1000 
S36522,2010-018B,R3          ,51.63,2010-05-01T00:00:00Z,   2350 
S36584,2010-021D,C  A        ,3.16,2020-02-14T00:00:00Z,    440 
S36591,2010-024B,R3          ,20.53,2019-11-28T00:00:00Z,   2800 
S36604,2010-029B,R3          ,51.61,2010-06-19T00:00:00Z,   2350 
S36609,2010-031B,R3          ,141.79,2011-06-22T00:00:00Z,    100 
S36747,2010-032D,C  A        ,1.97,2023-05-09T22:00:00Z,    440 
S36749,2010-033B,R3          ,51.62,2010-07-03T00:00:00Z,   2350 
S36801,2010-035G,C  A        ,98.15,2019-11-17T00:00:00Z,      0 
S36829,2010-036B,R3          ,54.62,2010-11-26T00:00:00Z,   2800 
S36833,2010-037D,C  A        ,2.03,2022-09-07T07:28:00Z,    440 
S36835,2010-038B,R3          ,97.78,2016-03-09T05:05:00Z,   1000 
S37141,2010-041E,R3          ,64.83,2010-09-02T11:00:00Z,   3500 
S37142,2010-041F,C  A        ,64.81,2010-09-03T01:10:00Z,    800 
S37151,2010-042B,R3          ,25.04,2015-12-04T14:33:00Z,   2800 
S37157,2010-044B,R3          ,51.62,2010-09-12T00:00:00Z,   2350 
S37159,2010-045B,R2          ,31.77,2024-07-26T04:23:00Z,   4000 
S37169,2010-048B,R4      c   ,98,2024-10-05T19:00:00Z,    500 
S37172,2010-049C,R3          ,62.79,2010-12-14T00:00:00Z,   2350 
S37173,2010-049D,C  M        ,62.82,2010-11-01T12:52:00Z,    328 
S37182,2010-051D,C  A        ,97.75,2022-02-10T16:06:00Z,     50 
S37184,2010-052B,R3          ,51.61,2010-10-11T00:00:00Z,   2350 
S37197,2010-055B,R3          ,51.63,2010-10-29T00:00:00Z,   2350 
S37209,2010-056D,C  A        ,1.98,2015-11-02T17:58:00Z,    440 
S37211,2010-057B,R3          ,20.29,2011-09-28T00:00:00Z,   2800 
S37217,2010-060B,R2          ,98.31,2010-12-16T00:00:00Z,    919 
S37235,2010-064B,R3          ,24.82,2021-02-13T23:06:00Z,   2800 
S37239,2010-065C,R2          ,1.78,2014-08-16T00:00:00Z,   5000 
S37240,2010-065D,C  A        ,2.03,2011-06-21T00:00:00Z,    440 
S37255,2010-067B,R3          ,51.62,2010-12-19T00:00:00Z,   2350 
S37257,2010-068B,R3          ,55.31,2011-01-31T00:00:00Z,   2800 
S37267,2010-070D,C  A        ,3,2018-10-28T22:30:00Z,    440 
S37346,2011-001C,R2          ,51.34,2011-03-19T00:00:00Z,   9300 
S37360,2011-004B,R3          ,51.63,2011-01-31T00:00:00Z,   2350 
S37378,2011-011B,R2------c   ,26.5,2024-04-22T20:54:00Z,   2850 
S37383,2011-012B,R3          ,51.62,2011-04-07T00:00:00Z,   2350 
S37395,2011-016D,C  A        ,6,2018-02-27T00:00:00Z,    440 
S37397,2011-017B,R3          ,51.6,2011-04-29T00:00:00Z,   2350 
S37482,2011-019B,R2          ,21.2,2011-08-17T00:00:00Z,   2020 
S37608,2011-022D,C  A        ,2.48,2013-01-21T00:00:00Z,    440 
S37634,2011-023B,R3          ,51.65,2011-06-11T00:00:00Z,   2350 
S37674,2011-024B,R2          ,103.56,2011-07-30T00:00:00Z,    924 
S37676,2011-025B,R2          ,55.69,2011-07-01T00:00:00Z,    400 
S37678,2011-026B,R3          ,25.98,2012-03-04T00:00:00Z,   2800 
S37680,2011-027B,R3          ,51.62,2011-06-23T00:00:00Z,   2350 
S37727,2011-028B,R3          ,81.39,2011-07-01T00:00:00Z,   2350 
S37729,2011-029B,R4          ,40,2012-05-20T00:00:00Z,    410 
S37738,2011-032B,R3          ,17.8,2011-10-26T00:00:00Z,   2800 
S37758,2011-037D,R2          ,51.41,2011-08-08T00:00:00Z,   9300 
S37764,2011-038B,R3          ,54.88,2012-03-03T00:00:00Z,   2800 
S37778,2011-041D,C  A        ,1.64,2023-02-16T05:22:00Z,    440 
S37780,2011-042B,R3          ,25.02,2011-12-21T00:00:00Z,   2800 
S37800,2011-045C,C  M        ,49.47,2012-09-12T00:00:00Z,   1000 
S37805,2011-047B,R3          ,26.54,2012-02-07T00:00:00Z,   2800 
S37812,2011-049D,C  A        ,2.42,2015-09-19T08:30:00Z,    440 
S37819,2011-052B,R4          ,63.43,2013-09-13T00:02:00Z,    140 
S37821,2011-053B,R2          ,42.79,2011-10-10T00:00:00Z,   5500 
S37837,2011-057B,R3          ,26.18,2011-10-30T00:00:00Z,   2800 
S37856,2011-061G,R2          ,107.31,2011-11-29T00:00:00Z,    924 
S37858,2011-062B,R3          ,51.63,2011-11-01T00:00:00Z,   2350 
S37860,2011-063B,R2          ,42.79,2011-11-08T00:00:00Z,   5500 
S37873,2011-065B,R2          ,51.43,2011-11-22T18:44:00Z,   9300 
S37876,2011-066C,R3          ,97.51,2011-12-18T00:00:00Z,   1000 
S37878,2011-067B,R3          ,51.62,2011-11-16T00:00:00Z,   2350 
S37942,2011-072B,R2          ,97.02,2014-03-19T11:33:00Z,   4006 
S37949,2011-073B,R3          ,55.35,2012-07-07T00:00:00Z,   2800 
S37953,2011-074D,C  M        ,47.66,2014-09-09T04:00:00Z,   1000 
S37955,2011-075B,R2          ,97.42,2015-08-07T23:15:00Z,   4000 
S38015,2011-077B,R3          ,24.38,2020-12-12T05:00:00Z,   2800 
S38037,2011-078B,R3          ,51.63,2011-12-24T00:00:00Z,   2350 
S38048,2012-001C,R3          ,97.58,2012-03-07T00:00:00Z,   1000 
S38074,2012-004B,R3          ,51.61,2012-01-28T00:00:00Z,   2350 
S38076,2012-005B,R2          ,56.02,2012-03-19T00:00:00Z,    390 
S38092,2012-008B,R3          ,20.71,2012-11-25T00:00:00Z,   2800 
S38102,2012-012B,R3          ,51.66,2012-04-01T00:00:00Z,   4185 
S38103,2012-012C,C  A        ,51.65,2012-03-30T00:00:00Z,    800 
S38104,2012-012D,R4          ,2.31,2024-12-03T00:00:00Z,   2440 
S38105,2012-012E,C  M        ,47.73,2020-06-14T00:00:00Z,     56 
S38106,2012-012F,C  M        ,47.69,2012-12-14T00:00:00Z,     56 
S38108,2012-013B,R3          ,27.46,2013-06-21T00:00:00Z,   2800 
S38223,2012-015B,R3          ,51.62,2012-04-22T00:00:00Z,   2350 
S38249,2012-017B,R4          ,97.53,2018-04-03T14:06:00Z,    920 
S38252,2012-018C,C  A        ,55.06,2019-11-17T21:30:00Z,    100 
S38253,2012-018D,R3          ,55.05,2017-08-18T00:00:00Z,   2800 
S38255,2012-019B,R2          ,20.38,2012-07-31T00:00:00Z,   2020 
S38259,2012-021C,R3          ,97.17,2013-02-27T09:15:00Z,   1000 
S38292,2012-022B,R3          ,51.65,2012-05-17T00:00:00Z,   2350 
S38334,2012-023D,C  A        ,2.03,2022-01-05T00:39:00Z,    440 
S38336,2012-024B,R3          ,81.38,2012-05-20T00:00:00Z,   2350 
S38349,2012-027B,R2          ,51.66,2012-06-27T03:22:00Z,   4000 
S38353,2012-028B,R3          ,26.68,2024-08-06T09:15:00Z,   2800 
S38462,2012-032B,R2          ,42.78,2012-06-28T00:00:00Z,   5500 
S38672,2012-037B,R3          ,51.63,2012-07-17T00:00:00Z,   2350 
S38713,2012-039G,R3          ,95.45,2012-07-24T00:00:00Z,   2410 
S38731,2012-040B,R3          ,18.14,2012-11-22T00:00:00Z,   2800 
S38739,2012-042B,R3          ,51.63,2012-08-04T00:00:00Z,   2350 
S38743,2012-043D,C  A        ,6.06,2019-05-07T13:49:00Z,    440 
S38747,2012-044D,C  A        ,49.9,2019-04-09T00:00:00Z,     50 
S38776,2012-050C,R3          ,55,2013-06-22T00:00:00Z,   2800 
S38777,2012-050D,C  A        ,54.98,2013-07-05T00:00:00Z,      0 
S38848,2012-054C,R2          ,51.65,2012-10-11T00:00:00Z,   4000 
S38862,2012-056C,R2          ,97.97,2013-06-05T00:00:00Z,   4006 
S38864,2012-056E,R3          ,98.15,2014-11-15T05:23:00Z,    550 
S38872,2012-058B,R3          ,51.63,2012-10-25T00:00:00Z,   2350 
S38976,2012-060B,R3          ,51.63,2012-11-02T00:00:00Z,   2350 
S38994,2012-062D,C  A        ,1.97,2016-11-08T00:58:00Z,    440 
S39000,2012-064D,R2          ,97.35,2016-06-27T19:04:00Z,   4006 
S39018,2012-067B,R3          ,26.69,2013-04-22T00:00:00Z,   2800 
S39024,2012-070C,C  M        ,26.02,2022-07-13T04:07:00Z,   1000 
S39031,2012-073B,R2          ,96.57,2012-12-31T00:00:00Z,   4006 
S39033,2012-074B,R3          ,51.64,2012-12-22T00:00:00Z,   2350 
S39037,2012-075D,C  A        ,1.98,2022-08-13T00:00:00Z,    440 
S39063,2013-002C,R2      C   ,97.45,2015-02-04T15:40:00Z,   4000 
S39064,2013-002D,C  A    C   ,97.51,2014-08-16T12:30:00Z,    100 
S39069,2013-003B,R2          ,80.28,2023-09-16T00:02:00Z,    200 
S39083,2013-007B,R3          ,51.64,2013-02-13T21:15:00Z,   2350 
S39116,2013-010B,R2          ,51.66,2013-03-11T03:04:00Z,   4000 
S39121,2013-011B,R2      C   ,21.91,2014-11-23T00:00:00Z,   2020 
S39126,2013-013B,R3          ,51.65,2013-03-31T00:00:00Z,   2350 
S39137,2013-015H,R3          ,64.9,2013-08-03T03:38:00Z,   2350 
S39147,2013-016F,R2          ,51.6,2013-05-01T23:51:00Z,   1220 
S39149,2013-017B,R3          ,51.62,2013-04-26T00:00:00Z,   2350 
S39171,2013-025B,R3          ,51.65,2013-05-31T00:00:00Z,   2350 
S39178,2013-028B,R3          ,98.31,2013-07-28T00:00:00Z,   2710 
S39180,2013-029B,R2          ,42.78,2013-06-21T00:00:00Z,   5500 
S39187,2013-030B,R3          ,97.3,2013-09-25T03:53:00Z,   2710 
S39217,2013-038C,R2          ,3.48,2021-02-10T00:00:00Z,   5000 
S39220,2013-039B,R3          ,51.63,2013-07-30T02:58:00Z,   2350 
S39223,2013-041B,R2      C   ,25.75,2017-07-11T00:00:00Z,   3450 
S39248,2013-047B,R4          ,37.6,2013-11-27T00:00:00Z,    140 
S39257,2013-050B,R2      C   ,20.26,2015-02-08T15:49:00Z,   2020 
S39259,2013-051B,R2          ,51.61,2013-10-09T16:24:00Z,   1220 
S39264,2013-054B,R3          ,51.68,2013-09-28T01:37:00Z,   2350 
S39280,2013-055R,C  A        ,81.01,2015-02-15T00:00:00Z,      0 
S39290,2013-055Y,C  A        ,81,2015-06-30T00:00:00Z,      0 
S39292,2013-055AA,C  A        ,81,2015-03-30T00:00:00Z,      0 
S39293,2013-055AB,C  A        ,81,2015-06-24T00:00:00Z,      0 
S39364,2013-059B,R2          ,97.55,2024-06-29T08:15:00Z,   4006 
S39369,2013-055AC,C  A        ,80.99,2024-07-12T00:00:00Z,      8 
S39374,2013-061B,R3          ,51.66,2013-11-09T02:27:00Z,   2350 
S39377,2013-062C,C  M        ,48.61,2017-04-21T00:00:00Z,   1000 
S39454,2013-067D,R3          ,87.56,2022-08-01T08:22:00Z,   2370 
S39457,2013-069B,R3          ,51.65,2013-11-28T02:24:00Z,   2350 
S39461,2013-071B,R2          ,20.51,2014-04-30T01:05:00Z,   4000 
S39482,2013-075B,R3          ,24.75,2020-08-31T03:05:00Z,   2800 
S39489,2013-077C,C  M        ,49.42,2014-10-18T00:00:00Z,   1000 
S39493,2013-078D,R2          ,82.43,2014-05-08T00:00:00Z,   2350 
S39499,2014-001B,R3          ,19.45,2014-06-08T01:57:00Z,   2500 
S39501,2014-002B,R2          ,22.33,2014-05-28T22:57:00Z,   4000 
S39503,2014-003B,R2          ,51.62,2014-01-18T00:21:00Z,   1083 
S39507,2014-005B,R3          ,51.63,2014-02-07T13:56:00Z,   2350 
S39580,2014-009J,R2          ,65.03,2014-06-16T03:32:00Z,   4000 
S39615,2014-010D,C  M        ,48.62,2017-09-15T22:00:00Z,   1000 
S39619,2014-011D,C  A        ,3.02,2023-01-06T19:14:00Z,    440 
S39623,2014-013B,R3          ,51.64,2014-03-28T05:32:00Z,   2350 
S39649,2014-018B,R3          ,51.63,2014-04-11T08:26:00Z,   2350 
S39651,2014-019B,R3      C   ,140.95,2014-05-30T00:00:00Z,    100 
S39730,2014-023D,C  M        ,47.85,2022-04-09T17:37:00Z,   1000 
S39733,2014-025B,R3          ,81.41,2014-05-10T01:11:00Z,   2350 
S39776,2014-031B,R3          ,51.62,2014-05-31T10:45:00Z,   2350 
S40077,2014-037J,R3          ,98.79,2014-07-10T11:42:00Z,   2350 
S40085,2014-039B,R2          ,51.61,2014-07-19T06:11:00Z,   1083 
S40096,2014-041B,R3          ,64.89,2014-10-31T00:55:00Z,   2350 
S40098,2014-042B,R3          ,51.64,2014-07-25T09:26:00Z,   2350 
S40120,2014-049C,R3          ,98.12,2017-05-27T23:17:00Z,   1000 
S40138,2014-051C,R2          ,98,2015-06-13T23:58:00Z,   4006 
S40142,2014-052B,R2          ,25.38,2014-12-28T04:40:00Z,   4000 
S40145,2014-053C,R3          ,97.51,2014-10-23T08:00:00Z,   1000 
S40149,2014-054D,C  A        ,5.96,2023-05-08T10:25:00Z,    440 
S40247,2014-057B,R3          ,51.63,2014-09-28T10:56:00Z,   2350 
S40274,2014-062D,C  A        ,5.94,2021-01-24T00:00:00Z,    440 
S40279,2014-064C,C  M        ,49.51,2015-06-17T22:28:00Z,   1000 
S40293,2014-067B,R3          ,51.65,2014-10-30T23:56:00Z,   2350 
S40306,2014-071B,R2          ,97.14,2023-01-21T15:12:00Z,   4006 
S40313,2014-074B,R3          ,51.63,2014-11-26T03:39:00Z,   2350 
S40335,2014-078D,C  A        ,6.03,2019-06-15T13:19:00Z,    440 
S40347,2014-082C,C  M        ,47.64,2018-04-29T03:03:00Z,   1000 
S40354,2014-084B,R3          ,74.74,2024-10-12T10:08:00Z,    725 
S40356,2014-085B,C  M        ,60.61,2019-05-07T19:52:00Z,   1000 
S40359,2014-086B,R3          ,67.14,2015-08-01T08:09:00Z,   2350 
S40361,2014-087B,R3          ,97.28,2015-01-09T08:07:00Z,   2710 
S40363,2014-088B,R3          ,97.34,2015-02-24T05:54:00Z,   1000 
S40373,2015-001D,R2          ,51.65,2015-01-17T21:46:00Z,   4000 
S40382,2015-004B,R2          ,97.49,2022-12-01T11:15:00Z,   4000 
S40388,2015-006B,R2          ,55.54,2015-03-07T09:00:00Z,    390 
S40393,2015-008B,R3          ,51.61,2015-02-19T04:03:00Z,   2350 
S40421,2015-009B,R3          ,97.64,2016-03-02T21:57:00Z,   2350 
S40426,2015-010C,R2          ,24.97,2023-12-18T22:49:00Z,   4000 
S40486,2015-011E,R2          ,28.56,2017-08-26T15:02:00Z,   2020 
S40539,2015-015B,R2      C   ,97.27,2022-11-02T07:00:00Z,   4000 
S40540,2015-015C,C  A    C   ,97.5,2015-04-05T00:00:00Z,      0 
S40543,2015-016B,R3          ,51.61,2015-03-29T12:54:00Z,   2350 
S40550,2015-019B,R3          ,54.96,2016-03-23T13:13:00Z,   2800 
S40589,2015-021B,R2          ,51.65,2015-04-22T19:00:00Z,   4000 
S40616,2015-022D,C  A        ,5.94,2019-03-10T00:00:00Z,    440 
S40620,2015-024B,R3          ,51.65,2015-04-29T07:32:00Z,   2350 
S40666,2015-026D,C  A        ,4.42,2022-02-07T14:38:00Z,    440 
S40668,2015-027B,R3          ,81.4,2015-06-09T21:12:00Z,   2350 
S40700,2015-029B,R3          ,98.31,2015-08-17T11:00:00Z,   2710 
S40702,2015-030B,R3          ,97.22,2015-09-08T00:10:00Z,   1000 
S40714,2015-031B,R3          ,51.61,2015-07-05T20:10:00Z,   2350 
S40745,2015-035B,R3          ,51.63,2015-07-25T06:01:00Z,   2350 
S40747,2015-036B,R2------c   ,24.32,2019-07-22T03:53:00Z,   3450 
S40881,2015-041B,R3          ,20.17,2018-03-02T20:30:00Z,   2500 
S40886,2015-043B,R3          ,51.65,2015-09-05T02:00:00Z,   2350 
S40893,2015-046B,R3          ,27.04,2016-01-30T12:01:00Z,   2800 
S40913,2015-049Q,R3          ,97.46,2023-02-02T11:00:00Z,   1000 
S40929,2015-051E,R4          ,97.34,2015-10-02T04:45:00Z,    500 
S40939,2015-053B,R3          ,55.01,2016-04-08T05:45:00Z,   2800 
S40943,2015-054D,C  A        ,5.99,2020-02-20T00:00:00Z,    440 
S40945,2015-055B,R3          ,51.64,2015-10-03T16:35:00Z,   2350 
S40983,2015-059B,R3          ,27.13,2016-01-15T05:51:00Z,   2800 
S41027,2015-064B,R3          ,97.36,2015-12-26T10:28:00Z,   1000 
S41031,2015-065D,C  A        ,3.97,2022-06-29T13:00:00Z,    440 
S41035,2015-067B,R3          ,18.31,2016-07-03T07:00:00Z,   2800 
S41044,2015-070B,R4          ,5.97,2017-03-16T00:00:00Z,    660 
S41100,2015-071C,R2          ,98.19,2016-03-16T21:05:00Z,   2350 
S41102,2015-071D,R3          ,98.17,2015-12-08T04:30:00Z,    900 
S41104,2015-073B,R3          ,27.08,2016-05-14T03:26:00Z,   2800 
S41107,2015-074C,R2          ,51.38,2016-01-01T23:35:00Z,   9300 
S41123,2015-075C,C  M        ,48.59,2018-11-12T00:00:00Z,   1000 
S41125,2015-076B,R3          ,51.62,2015-12-17T20:29:00Z,   2350 
S41172,2015-077G,R4          ,14.69,2023-01-16T05:02:00Z,    920 
S41178,2015-080B,R3          ,51.66,2015-12-23T02:08:00Z,   2350 
S41195,2015-083B,R3          ,22.96,2020-10-28T04:21:00Z,   2800 
S41239,2016-001B,R3          ,26.36,2016-07-04T10:50:00Z,   2800 
S41325,2016-006C,R3          ,55.01,2019-10-04T20:04:00Z,   2800 
S41333,2016-009B,R3          ,97.54,2023-06-09T12:02:00Z,     50 
S41387,2016-016B,R3          ,97.32,2016-09-24T14:29:00Z,   2710 
S41392,2016-018B,R3          ,51.61,2016-03-21T00:00:00Z,   2350 
S41395,2016-020B,R3          ,97.64,2018-09-06T12:00:00Z,   2350 
S41437,2016-022B,R3          ,51.65,2016-04-03T05:38:00Z,   2350 
S41449,2016-023B,R2          ,42.89,2016-04-18T21:49:00Z,   4006 
S41461,2016-025F,C  A        ,98.22,2024-08-09T15:26:00Z,    400 
S41467,2016-026D,R3          ,97.3,2016-04-30T11:00:00Z,   2350 
S41472,2016-028B,R2          ,23.68,2017-09-16T08:00:00Z,   4000 
S41553,2016-031B,R2          ,21.12,2019-01-06T00:00:00Z,   4000 
S41559,2016-033D,R3          ,97.41,2017-01-08T04:15:00Z,   1000 
S41620,2016-040X,R4          ,97.53,2023-05-19T21:48:00Z,    920 
S41621,2016-040Y,C  A        ,97.51,2022-10-17T00:00:00Z,      0 
S41626,2016-042C,C  A        ,40.8,2016-09-11T09:40:00Z,    100 
S41628,2016-042E,R2          ,40.81,2016-07-28T04:40:00Z,   6000 
S41635,2016-043B,R3          ,74.98,2022-04-06T16:20:00Z,   1000 
S41640,2016-044B,R3          ,51.64,2016-07-10T04:41:00Z,   2350 
S41671,2016-045B,R3          ,51.66,2016-07-19T06:26:00Z,   2350 
S41726,2016-048B,R3          ,28.46,2017-07-21T00:00:00Z,   2800 
S41730,2016-050B,R2          ,20.94,2016-09-26T02:26:00Z,   4000 
S41753,2016-054B,R3          ,20.65,2019-04-29T16:13:00Z,   2500 
S41760,2016-056B,R3------C   ,142.53,2016-10-21T00:00:00Z,    100 
S41766,2016-057B,R2          ,42.78,2016-09-29T19:00:00Z,   5500 
S41775,2016-058F,C  A        ,97.45,2022-10-20T03:30:00Z,    100 
S41796,2016-060D,C  A        ,6.04,2021-01-06T00:00:00Z,    440 
S41813,2016-061B,R2          ,42.79,2016-11-03T22:54:00Z,   5500 
S41819,2016-062B,R2          ,51.59,2016-11-06T18:53:00Z,   1220 
S41821,2016-063B,R3          ,51.63,2016-10-23T03:51:00Z,   2350 
S41839,2016-065B,R2          ,19.26,2024-07-12T11:01:00Z,   5100 
S41865,2016-070B,R3          ,51.61,2016-11-21T16:46:00Z,   2350 
S41883,2016-077B,R3          ,28.38,2019-01-20T11:30:00Z,   2800 
S41894,2016-079B,R2          ,25.75,2017-03-05T00:00:00Z,   2020 
S41902,2016-081E,R2          ,97.86,2020-03-21T12:00:00Z,   4006 
S41906,2016-082D,C  A        ,5.94,2020-09-29T00:00:00Z,    440 
S41910,2016-083D,R2          ,97.59,2017-01-23T20:15:00Z,   4006 
S41912,2017-001B,R3          ,27.39,2020-01-21T10:29:00Z,   2800 
S41916,2017-002D,R4          ,97.54,2017-07-17T00:00:00Z,     50 
S41938,2017-004B,R2------c   ,23.29,2019-11-19T00:00:00Z,   2020 
S41943,2017-006B,R4          ,5.44,2024-06-25T23:23:00Z,   1050 
S42052,2017-008DJ,R4          ,97.52,2024-10-06T15:49:00Z,    920 
S42057,2017-010B,R3          ,51.64,2017-02-24T09:55:00Z,   2350 
S42062,2017-012B,R3          ,96.67,2017-04-08T00:00:00Z,    100 
S42071,2017-014B,R2          ,22.44,2022-02-06T07:10:00Z,   4000 
S42073,2017-015B,R2          ,97.23,2023-12-10T20:20:00Z,   4000 
S42683,2017-020B,R3          ,51.62,2017-04-23T00:00:00Z,   2350 
S42685,2017-021B,R2          ,42.79,2017-05-18T19:23:00Z,   6000 
S42696,2017-024B,R3          ,20.61,2017-10-10T03:30:00Z,   2500 
S42699,2017-025B,R2          ,24.47,2022-05-06T23:05:00Z,   4000 
S42748,2017-031B,R2          ,21.73,2018-02-08T04:00:00Z,   4400 
S42757,2017-033B,R3          ,51.65,2017-06-17T10:49:00Z,   2350 
S42762,2017-034E,R3          ,43.12,2018-08-25T05:00:00Z,   1000 
S42764,2017-035B,R3          ,25.69,2022-01-02T00:00:00Z,   2800 
S42796,2017-036AH,R4          ,94.61,2018-07-24T00:00:00Z,    920 
S42800,2017-037C,R2          ,98.06,2020-04-20T19:00:00Z,   2350 
S42802,2017-038B,R2          ,23.95,2017-11-02T18:13:00Z,   4000 
S42899,2017-043B,R3          ,51.64,2017-08-01T00:00:00Z,   2350 
S42902,2017-044C,C  A        ,97.22,2020-09-12T04:00:00Z,    100 
S42927,2017-050G,R4          ,24.6,2024-02-12T22:27:00Z,    723 
S42938,2017-054B,R3          ,51.66,2017-09-16T10:20:00Z,   2350 
S42953,2017-059D,C  A        ,6.01,2024-01-19T03:02:00Z,    440 
S42972,2017-065B,R3          ,51.65,2017-10-16T15:28:00Z,   2350 
S42985,2017-067B,R2          ,22.06,2018-10-27T16:10:00Z,   4000 
S42993,2017-068G,C  A        ,97.35,2024-02-10T00:00:00Z,     35 
S43004,2017-069D,R3          ,55.02,2021-09-22T17:06:00Z,   2800 
S43007,2017-071B,R2          ,51.59,2017-11-25T05:49:00Z,   1220 
S43025,2017-074D,R3          ,97.53,2023-11-11T05:53:00Z,   1000 
S43033,2017-076B,R3          ,67.14,2019-05-15T00:45:00Z,   2350 
S43040,2017-078B,R3          ,26.24,2018-03-10T05:30:00Z,   2800 
S43064,2017-081B,R3          ,51.64,2017-12-20T16:23:00Z,   2350 
S43090,2017-086D,R2          ,51.37,2018-01-27T23:32:00Z,   8300 
S43101,2018-002C,R2          ,97.58,2023-06-22T22:04:00Z,   4006 
S43112,2018-004B,C  A        ,97.56,2022-10-30T00:00:00Z,      0 
S43129,2018-004U,R4          ,96.88,2019-01-17T00:00:00Z,    920 
S43153,2018-007B,R4          ,97.37,2024-08-22T18:00:00Z,    185 
S43154,2018-007C,R3          ,97.8,2018-07-17T08:30:00Z,    400 
S43164,2018-010B,R3          ,82.93,2023-12-17T21:30:00Z,     45 
S43166,2018-010D,R2          ,82.93,2019-03-03T11:59:00Z,    270 
S43173,2018-011E,R2          ,34.97,2023-12-23T01:28:00Z,   3800 
S43202,2018-016B,R3          ,30.88,2018-06-22T00:00:00Z,     10 
S43209,2018-018C,R3          ,54.98,2021-05-03T23:37:00Z,   2800 
S43212,2018-019B,R3          ,51.66,2018-02-16T21:40:00Z,   2350 
S43224,2018-021B,R2      C   ,97.21,2024-04-27T04:23:00Z,   4000 
S43225,2018-021C,C  A    C   ,97.21,2018-07-18T00:00:00Z,      0 
S43230,2018-023C,R2          ,27.07,2020-10-16T09:10:00Z,   4000 
S43239,2018-026B,R3          ,51.64,2018-03-25T01:25:00Z,   2350 
S43240,2018-021D,C  A    c   ,97.21,2020-01-10T00:00:00Z,      0 
S43242,2018-027B,R3          ,20.41,2019-12-04T00:00:00Z,   2500 
S43244,2018-028B,R2          ,96.65,2018-11-04T08:30:00Z,   2350 
S43434,2018-037C,C  M        ,48.69,2019-06-29T21:50:00Z,   1000 
S43444,2018-040F,R4          ,97.29,2018-04-29T21:40:00Z,    500 
S43451,2018-041B,R3          ,27.42,2021-07-07T12:22:00Z,   2800 
S43475,2018-046B,R2          ,51.59,2018-06-05T03:37:00Z,   1220 
S43489,2018-049B,R2          ,26.23,2019-03-23T00:00:00Z,   3000 
S43494,2018-051B,R3          ,51.62,2018-06-11T08:47:00Z,   2350 
S43496,2018-052B,R2          ,97.29,2023-12-08T12:04:00Z,   4000 
S43520,2018-054C,C  A        ,35,2022-03-27T04:58:00Z,      0 
S43531,2018-056C,R3          ,97.82,2019-03-12T01:24:00Z,    550 
S43532,2018-056D,R2          ,98.06,2019-04-30T00:06:00Z,   4006 
S43538,2018-058B,R3          ,51.65,2018-07-12T21:52:00Z,   2350 
S43540,2018-057B,R3          ,55.03,2019-12-04T00:00:00Z,   2800 
S43555,2018-056J,C  A        ,98.05,2020-01-12T00:00:00Z,      0 
S43583,2018-062C,R3          ,54.97,2019-07-20T00:10:00Z,   2800 
S43586,2018-063B,R3          ,97.37,2018-11-04T16:12:00Z,   1000 
S43588,2018-064B,R2          ,26.93,2020-12-26T22:29:00Z,   4000 
S43604,2018-067C,R3          ,54.97,2019-07-04T21:50:00Z,   2800 
S43624,2018-072C,R3          ,54.99,2023-08-18T06:35:00Z,   2800 
